Nr.|Sprecher/Regie|Text|Filmnr.
142|Regie|GANDALF laughing and clapping the HOBBITS. ARAGORN steps up beside him, SMILING at the floorshow.|3
148|Regie|GANDALF turns quickly to ARAGORN.|3
150|Regie|GANDALF watches his friend's face seeking reassurance.|3
155|Regie|FRODO and SAM lie asleep amidst scrubby bushes near a stagnant pool. SMEAGOL lies nearby, muttering in his sleep.|3
157|Regie|SMEAGOL wakes suddenly, shaking, his face drenched in SWEAT, eyes wide in horror.|3
162|Regie|SMEAGOL'S features suddenly transform into the MALEVOLENT face of GOLLUM.|3
164|Regie|SMEAGOL casts a quick glance over his SHOULDER to the SLEEPING figures of FRODO and SAM as he clambers off his ROCK silently sidling towards the EDGE of a STAGNANT POOL.|3
167|Regie|SMEAGOL stares into the MURKY depths of the WATER.|3
168|Regie|The SURFACE RIPPLES as the face of GOLLUM appears as SMEAGOL'S REFLECTION.|3
172|Regie|SMEAGOL choking DEAGOL Fingers locked tight around his THROAT.|3
185|Regie|SAM his EYES flicker OPEN.|3
192|Regie|SUDDEN SAM image mirrored in the water as he SMACKS GOLLUM on the HEAD with his POT.|3
194|Regie|SAM drops the POT and FLINGS himself ON TOP of GOLLUM. GOLLUM SCREAMS his ARMS and LEGS FLAILING WILDLY.|3
196|Regie|FRODO staggers over to SAM and PULLS HIM OFF GOLLUM.|3
198|Regie|GOLLUM, huddled on the ground WHIMPERING and SOBBING.|3
204|Regie|SAM makes for SMEAGOL again with a look of MURDEROUS RAGE.|3
206|Regie|FRODO grabs SAM'S ARM.|3
210|Regie|SAM pulls away from FRODO.|3
213|Regie|SAM stares at FRODO at a loss.|3
216|Regie|SAM, his face softening.|3
221|Regie|FRODO beckons to GOLLUM.|3
223|Regie|GOLLUM turns slowly, staring at SAM through hooded, HATE-FILLED EYES and SMILES.|3
226|Regie|ARAGORN joins LEGOLAS on the STEPS to the GOLDEN HALL, oblivious to the CHILL WIND they look out across the SLEEPING CITY to the LOOMING MOUNTAIN RANGE BEYOND -. DARK CLOUDS mark the sky.|3
228|Regie|LEGOLAS looks at ARAGORN realisation in his face.|3
231|Regie|PIPPIN he is AWAKE. He sits up ANXIOUS, FIDGETY.|3
232|Regie|Suddenly he hops out of bed and creeps towards the SLEEPING FORM of GANDALF.|3
236|Regie|A sleeping GANDALF lies with eyes wide open. But PIPPIN is undeterred.|3
237|Regie|MERRY sits up, a worried look on his face.|3
239|Regie|With quick stealth, PIPPIN lifts the WRAPPED PALANTIR from GANDALF'S grasp.|3
243|Regie|PIPPIN unwraps the PALANTIR and as MERRY looks on HORRIFIED, he gazes INTENTLY into it.|3
245|Regie|As PIPPIN lays his hands on the CRYSTAL, a SICKLY PALE light slowly spreads from the GLASS BALL onto PIPPIN'S FACE his EYES WIDEN.|3
249|Regie|On the STEPS of the GOLDEN HALL, LEGOLAS turns to ARAGORN|3
255|Regie|PIPPIN suddenly starts to HYPERVENTILATE He STAGGERS BACKWARDS, PALANTIR held rigidly before him.|3
256|Regie|THE GREAT EYE OF SAURON seems to LEAP from the FIRE PIPPIN is bathed in the FIERY RED LIGHT.|3
257|Regie|PIPPIN sinks to his KNEES, his mouth open in a soundless SCREAM He FALLS BACKWARDS, powerless to release the FIERY GLOBE.|3
259|Regie|GANDALF wakes with a start. Just as ARAGORN enters, and wrenches the PALANTIR from PIPPIN'S HANDS PIPPIN FALLS to the FLOOR ARAGORN spins away, reeling backwards, the PALANTIR falling from his HANDS.|3
260|Regie|The PALANTIR rolls across the FLOOR, causing EVERYONE in the room to COWER BACK.|3
263|Regie|GANDALF lifts the HOBBIT'S SLUMPED HEAD.|3
265|Regie|PIPPIN is trembling GANDALF calms him.|3
271|Regie|A lone white tree silhouetted by flames.|3
277|Regie|GANDALF stares at PIPPIN with a FRIGHTENING INTENSITY.|3
280|Regie|THEODEN stands in the GOLDEN HALL, gravely listening to GANDALF ARAGORN, LEGOLAS, and GIMLI look on.|3
286|Regie|GANDALF looks from on to the other of the, gathered company.|3
288|Regie|The WIZARD turns towards ARAGORN.|3
290|Regie|THEODEN listens intently, saying nothing.|3
292|Regie|ARAGORN he knows GANDALF SPEAKS THE TRUTH.|3
293|Regie|GANDALF rounds on THEODEN.|3
295|Regie|THEODEN holds GANDALF'S gaze.|3
300|Regie|ARAGORN turns to look at THEODEN.|3
306|Regie|GANDALF turns on his heel and stares at a surpirsed PIPPIN.|3
309|Regie|GANDALF hurries along the STREETS PIPPIN and MERRY run alongside trying to KEEP UP.|3
314|Regie|PIPPIN catches up to MERRY.|3
318|Regie|MERRY turns away.|3
321|Regie|This is too much for MERRY. He turns on PIPPIN.|3
325|Regie|PIPPIN'S face as MERRY strides away.|3
330|Regie|PIPPIN is dumped unceremoniously onto the back of SHADOWFAX as GANDALF hurriedly prepares to leave.|3
333|Regie|MERRY thrusts a SMALL PACKAGE into PIPPIN'S HAND.|3
335|Regie|PIPPIN stares down at the leather-bound bundle of PIPE-WEED.|3
339|Regie|A WORRIED MERRY exchanges glances with GANDALF.|3
342|Regie|GANDALF mounts SHADOWFAX.|3
348|Regie|SHADOWFAX thunders out of the STABLES.|3
349|Regie|MERRY'S devastated face.|3
351|Regie|SHADOWFAX carried GANDALF and PIPPIN out of the GATE and down the WINDING ROAD towards the PLAINS QF ROHAN.|3
353|Regie|MERRY clambers up a WATCHTOWER, ARAGORN in pursuit.|3
354|Regie|The SMALL FIGURE as he watches his best friend DISAPPEAR into the DISTANCE.|3
355|Regie|ARAGORN he knows what it is to lose someone.|3
357|Regie|ARWEN - escorted by a SMALL ENTOURAGE of ELVES - rides through the gathering darkness of a PINE FOREST.|3
359|Regie|As ARWEN rides through the FOREST the FIGURE of a SMALL BOY of about 5 SUDDENLY runs across the path in front of her.|3
363|Regie|The BOY now stands within a VISION of the majestic architecture of the great Gondorian city of MINAS TIRITH.|3
364|Regie|A SILHOUETTED FIGURE appears in the distance and moves towards the CHILD the BOY runs to the FIGURE.|3
365|Regie|ARWEN watches as the FIGURE holds out its arms - swinging the LAUGHING CHILD into the AIR.|3
366|Regie|The figure turns to reveal ARAGORN, a little older, dressed in the casual finery of a GONDORIAN NOBLE.|3
367|Regie|The'CHILD, now in ARAGORN'S ARMS looks directly at ARWEN it is a QUIET LOOK filled with INFINITE SADNESS.|3
368|Regie|ARWEN'S eyes drop to the CHILD'S CHEST around the CHILD'S neck hangs the EVENSTAR.|3
369|Regie|ARWEN as she realizes she is staring at a future that can never be, the CHILD she and ARAGORN will never have.|3
370|Regie|ELROND speaking to his daughter.|3
372|Regie|ARWEN shuts her eyes when she opens them again the VISION is gone she is staring at DARK TREES once more.|3
374|Regie|ARWEN turns towards her COMPANION who stares at her, concerned.|3
376|Regie|SUDD ENLY ARWEN wheels ASFAL OTH ar ound riding away.|3
380|Regie|ARWEN'S HORSE gallops over the BRIDGE and through the GATES into RIVENDELL.|3
382|Regie|ELROND seated alone ARWEN runs up the STEPS towards him.|3
384|Regie|ELROND stands - stunned. ,,|3
386|Regie|ARWEN breathing hard, walking towards ELROND with a fierce light in her eyes.|3
388|Regie|ELROND his face grim. ' .|3
391|Regie|Her father turns away.|3
398|Regie|ARWEN gently takes her FATHER'S face in her hands and turns him toward her.|3
400|Regie|INSERT A HOODED FIGURE ascends a CURVED STAIRCASE towards a GALLERY The FIGURE stops before a STATUE that holds the BROKEN SHARDS of an ancient sword in its arms.|3
402|Regie|INSERT The BLADE shattering in several fragments as ISLIDUR brandishes NARSIL at SAURON.|3
404|Regie|The HOODED FIGURE looks up into the sorrowful face of the STATUE The figure is ARWEN.|3
407|Regie|ELROND stares at his daughter, unwavering.|3
412|Regie|ELROND turns away.|3
413|Regie|ARWEN in ANGUISH, sits on her bed, the book falls to the FLOOR.|3
414|Regie|ELROND picks up her JOURNAL and takes one of her hands in his.|3
416|Regie|ELROND'S despair is plain.|3
419|Regie|ELROND, he understands now that to protect his dauther, he must trust her.|3
420|Regie|INSERT A BROKEN SWORD GLOWS with RED HEAT It's BLADE in SEVERAL FRAGMENTS.|3
421|Regie|A HEAVY HAMMER pounds the RED-HOT BLADE on an ANVIL As ELVEN-SMITHS TEMPER the STEEL.|3
422|Regie|ELROND'S FACE lit by FLICKERING FIRE as SPARKS fly in. the RIVENDELL FORGE.|3
423|Regie|The SWORD is withdrawn from a POOL OF STEAMING WATER LIGHT SHIMMERS as the WATER DROPS slide down the BLADE of NARSIL, the SWORD that was broken has been remade.|3
428|Regie|PIPPIN asleep GANDALF'S PROTECTIVE ARM around him.|3
429|Regie|as SHADOWFAX THUNDERS through the NIGHT.|3
432|Regie|SHADOWFAX powers along the COUNTRYSIDE.|3
433|Regie|PIPPIN, huddled in front of GANDALF, the WIND sailing through his hair.|3
436|Regie|SHADOWFAX gallops up onto a LOW RIDGE.|3
437|Regie|Before them is the DARK MASS of Mount Mindolluin, its tall WHITE FACE whitening in the RISING SUN. Upon its out- thrust knee is the Guarded City MINAS TIRITH.|3
438|Regie|With SEVEN WALLS OF WHITE STONE, so strong and old that it seems to have been not built, MINAS TIRITH looks carven by giants out of the bones of the earth.|3
440|Regie|Suddenly the SUN climbs over the eastern hills, and sends forth a SHAFT OF SUNLIGHT that GLEAMS against th e face of the CITY. The TOWER OF ECTHELION stands high within the topmost walls. WHITE BANNERS break and FLUTTER from the BATTLEMENTS in the morning breeze.|3
445|Regie|SHADOWFAX, carrying GANDALF and PIPPIN up towards the 7th LEVEL.|3
446|Regie|MINAS TIRITH is built in 7 LEVELS - each behind a CIRCULAR DEFENSIVE WALL. Each level rises - the city reaches a height of nearly 1000 FEET on its TOPMOST LEVEL.|3
447|Regie|A towering BASTION of NATURAL ROCK - shaped like a sharp ship's prow - bisects the city from the 2nd LEVEL to the TOP.|3
449|Regie|SHADOWFAX arrives at a GREAT CITADEL on the SUMMIT of the CITY - 1000 FEET above the PELENNOR FIELDS.|3
450|Regie|GANDALF and PIPPIN dismount, leaving the GUARDS of the CITADEL to tend to SHADOWFAX. GANDALF hurries off.|3
451|Regie|PIPPIN as he takes in his surroundings, his eye caught by a DEAD TREE that stands in the middle of the COURT, FOUR SOLEMN CITADEL GUARDS standing sentry around it.|3
454|Regie|GANDALF leads PIPPIN across a FLAT COURT of WHITE STONES, surrounded by GREEN LAWNS towards a GREAT HALL benejath the GLEAMING TOWER. ' \|3
456|Regie|GANDALF lowers his voice, as they approach the TOWER HALL.|3
460|Regie|PIPPIN, suitably chastened, nods.|3
462|Regie|A LONG SOLEMN HALL with ROWS OF BLACK MARBLE PILLARS. Between the pillars stand a silent company of TALL KINGS carved in cold STONE.|3
463|Regie|GANDALF strides down the HALL, with PIPPIN following obediently behind.|3
464|Regie|At the FAR END, upon a DAIS OF MANY STEPS, sits a LARGE, EMPTY THRONE and on the wall behind is the IMAGE of a FLOWERING WHITE TREE set in GEMS.|3
465|Regie|At the FOOT of the DAIS, in a small STONE CHAIR, sits an OLD MAN, gazing at his lap DENETHOR - the Lord Steward of CONDOR.|3
467|Regie|DENETHOR does not look up as GANDALF and PIPPIN approach.|3
469|Regie|DENETHOR slowly raises COLD EYES.|3
475|Regie|PIPPIN remembering.|3
476|Regie|INSERT BOROMIR, as URUK-HAI arrows thud into his body, he falls to his KNEES.|3
477|Regie|PIPPIN starts forward unable to say nothing.|3
478|Regie|PIPPIN Boromir died to save us my kinsman and me he fell, defending us from many foes.|3
479|Regie|DENETHOR pain flickers in his eyes.|3
481|Regie|PIPPIN drops to his knee offering DENETHOR his SWORD.|3
483|Regie|DENETHOR looks at PIPPIN blankly, overcome with grief.|3
485|Regie|DENETHOR gaze turns slowly on GANDALF.|3
490|Regie|DENETHOR smiles at GANDALF, as if amused by something.|3
492|Regie|GANDALF looks shocked, DENETHOR'S eyes NARROW.|3
496|Regie|PIPPIN, horrified. GANDALF looks at Denethor closely for a moment, then turns on his heel to leave, PIPPIN follows.|3
498|Regie|GANDALF and PIPPIN stride from the TOWER HALL DENETHOR slumps back into his SEAT.|3
502|Regie|PIPPIN is carefully laying out a SMALL UNIFORM of the ROYAL GUARD on a bed.|3
504|Regie|GANDALF STANDING QUIETLY on a BALCONY that overlooks the GREAT CITY.|3
507|Regie|PIPPIN as he stares up at the vast NIGHT SKY.,|3
509|Regie|GANDALF watches the young HOBBIT.|3
513|Regie|GANDALF joins PIPPIN as they look towards the distant, jagged MOUNTAINS of MORDOR.|3
517|Regie|PIPPIN looks up at him, unnerved. GANDALF gives him a small self-deprecating smile.|3
519|Regie|GANDALF and PIPPIN share a quiet moment as they stare out towards the FIERY SKY over MORDOR.|3
521|Regie|INSERT GIANT MUMAKIL carrying ARMIES upon their backs|3
523|Regie|INSERT CORSAIR SHIPS sail up the RIVER.|3
525|Regie|GANDALF he is almost talking to himself now like a man unable to prevent a sure disaster.|3
527|Regie|INSERT The BATTLE-SCARRED CITY of OSGILIATH - last bastion between MINAS TIRITH and MORDOR.|3
533|Regie|GANDALF looks down at PIPPIN, he says nothing.|3
535|Regie|GANDALF stares into the distance as if seeing something in his mind's eye.|3
536|Regie|INSERT A TOWERING, HOODED FIGURE, DRESSED in BLACK, is being dressed in ARMOUR by attendant ORCS.|3
538|Regie|GANDALF still staring intently as if facing his enemy in .person.|3
540|Regie|PIPPIN looks up at GANDALF, afraid to ask.|3
542|Regie|INSERT FRODO screaming as the MORGUL BLADE is driven into his SHOULDER.|3
543|Regie|PIPPIN blanches at the MEMORY.|3
550|Regie|FRODO and SAM clamber into a SMALL GULLY beside a ROUGH-HEWN ROAD GOLLUM CAREFULLY.peers OVER the lip of the GULLY ___|3
551|Regie|MINAS MORGUL, a MASSIVE DEAD CITY, set upon a ROCKY KNEE at the HEAD OF THE morgul valley. CORRUPT and LOATHSOME, it glows with a SICKLY LUMINOUS LIGHT - like a CORPSE CANDLE.|3
552|Regie|TWO HUGE, BESTIAL STONE STATUES guard the BRIDGE that leads to the CITY.|3
554|Regie|GOLLUM, FRODO and SAM hurry from their COVER scampering in the SHADOWS towards MINAS MORGUL.|3
556|Regie|FRODO he LOOKS UP at the HIDEOUS STATUES. His SENSES START REELING.|3
558|Regie|FRODO and SAM look AGHAST at the sight of a NARROW, NEAR- VERTICAL STAIRCASE, cut into the ROCK-FACE Directly in FRONT of the MINAS MORGUL GATES.|3
560|Regie|(CO NTINUE D)|3
564|Regie|SUDDENLY. FRODO staggers across the ROAD as if some FORCE, other than his own will, is at work. He lurches towards the BRIDGE towards MINAS MORGUL.|3
567|Regie|SAM runs after FRODO, catching him in his arms as he STUMBLES,|3
570|Regie|SAM and GOLLUM pull FRODO from the BRIDGE.|3
572|Regie|FRODO falls to the GROUND.|3
573|Regie|AT THAT MOMENT the GROUND QUIVERS, and a great RUMBLING NOISE rolls across the ground and ECHOES in the mountains.|3
574|Regie|The cold, dull MORGUL VALLEY is suddenly VIOLENT and FIERCE, as UPRUSHING FLAME springs from MOUNT DOOM.|3
575|Regie|MINAS MORGUL ANSWERS A FLARE of LIVID LIGHTNING, FORKS of BLUE FLAME, SPRING UP from the TOWER into the SULLEN CLOUD.|3
580|Regie|VIOLENT FIERY FLASHES light the CLOUD above MORDOR SHARP THUNDER rolls across 40 MILES to MINAS TIRITH.|3
581|Regie|PIPPIN looking on in FRIGHTENED AWE. GANDALF'S comforting HAND rests on his shoulder.|3
584|Regie|SAM and GOLLUM lead FRODO to the STAIRS.|3
585|Regie|ABOVE MINAS MORGUL the SKY is BRIGHT with LIGHT as the CITY, erupts.|3
589|Regie|FACES of SOLDIERS and CIVILIANS of MINAS TIRITH as they watch from the PARAPETS of the CITY.|3
592|Regie|FRODO and SAM sink to the ground, holding their hands against their ears, as out of the CITY comes a RENDING SCREECH SHIVERING, rising swiftly to a PIERCING PITCH beyond the range of hearing. The terrible CRY ends, falling back through a long sickening WAIL, to SILENCE.|3
593|Regie|FRODO slowly RAISES HIS HEAD across the NARROW VALLEY, directly opposite the HOBBITS, the LORD OF THE NAZGUL - the WITCH KING - suddenly RISES UP out of the DEAD CITY on his FELL-BEAST.|3
598|Regie|THE CAVERNOUS GATE of MINAS MORGUL swings OPEN.|3
599|Regie|and. a HUGE ARMY MARCHES OUT.|3
600|Regie|RANK upon RANK of ARMOUR CLAD ORCS, moving SWIFTLY and SILENTLY, pass close to FRODO and SAM in an ENDLESS STREAM of RAGGED COLUMNS.|3
602|Regie|GANDALF .|3
606|Regie|75,000 ORCS MARCHING TO WAR, just below FRODO and SAM.|3
608|Regie|The WITCH KING SWOOPS down the VALLEY to join the HEAD of his ARMY. He vanishes into the GLOOM - a shadow into shadow.|3
609|Regie|GOLLUM peers out from his stony hiding place.|3
615|Regie|GANDALF thinking, calculating.|3
618|Regie|GANDALF striding BACK STREETS of the CITY so DETERMINED and PURPOSEFUL is he, that PIPPIN has to RUN to keep up. GANDALF suddenly stops and looks down at PIPPIN.|3
620|Regie|GANDALF kneels down and looks at PIPPIN earnestly, his hand on PIPPIN'S shoulder.|3
622|Regie|GANDALF watches as PIPPIN hurries away.|3
624|Regie|An ANCIENT STONE BRIDGE which spans the RUINS of EAST and WEST OSGILIATH - a once MIGHTY GONDORIAN CITY.|3
625|Regie|ITHILIEN RANGERS patrolling the BRIDGE and the RIVERBANK.|3
626|Regie|WEST OSGILIATH has fallen into disrepair, but the DESOLATION of EAST OSGILIATH is more pronounced - it is held by the FORCES of MORDOR.|3
627|Regie|CAMERA tracks down beneath the BRIDGE to the DARK WATERS catching a STEALTHY MOVEMENT.|3
633|Regie|FARAMIR, CAPTAIN OF CONDOR, as he issues orders to his SOLDIERS.|3
635|Regie|ITHILIEN RANGERS take position they are all WEATHERED, HARDENED, PROFESSIONAL SOLDIERS Watchful, ready, waiting.|3
637|Regie|ON THE RIVER the BOATS quietly advance.|3
639|Regie|FARAMIR and his SOLDIERS lie in wait. As the BOATS arrive HUNDREDS of ORCS race ashore. FARAMIR steps out, his SWORD drawn. A FIERCE BATTLE ensues, but FARAMIR is unable to stop the advance as HUNDREDS OF ORCS cross the WIDE BRIDGE into WEST OSGILIATH.|3
641|Regie|HIGH A DIZZYING VIEW Looking down on MINAS TIRITH, 1000 FEET BELOW, as PIPPIN desperately scrambles up the ROCKY MOUNTAINSIDE.|3
643|Regie|PIPPIN clambers over a ROCKY LEDGE and ducks behind a STONE WALL panting HEAVILY.|3
647|Regie|TWO bored CITADEL GUARDS sit chatting passing the long hours.|3
650|Regie|GANDALF as he waits tensely below.|3
653|Regie|PIPPIN as he stealthily manages to POUR OIL on the WOOD and set a FLAME to it.|3
654|Regie|Within SECONDS, the GREAT PYRE is alight. The GUARDS look on in TOTAL SURPRISE as the FLAMES ERUPT into the TWILIGHT SKY.|3
657|Regie|GANDALF as the BEACONS burst into FLAMES His. eyes flash briefly with TRIUMPH before he hurries off.|3
659|Regie|The BEACON glows BRIGHTLY on the slopes of MOUNT MINDOLLUIN, high above MINAS TIRITH.|3
660|Regie|GANDALF hurries to the BATTLEMENT, looking further west along the WHITE MOUNTAINS.|3
662|Regie|a bright FIRE ignites on a DISTANT MOUNTAIN PEAK.|3
667|Regie|DENETHOR staring at the BEACON from the CITADEL WINDOW a look of BLACK FURY on his face.|3
668|Regie|GANDALF, a strange smile plays on his face.|3
672|Regie|MOVING over the WHITE MOUNTAINS as the TRAIL of GREAT FIRES slowly winds from PEAK TO PEAK.|3
674|Regie|A ROCKY PEAK high above EDORAS a GREAT BEACON FIRE is IGNITED.|3
675|Regie|A BELL TOLLS urgently.|3
676|Regie|ARAGORN looks tensely out across the MOUNTAINS.|3
677|Regie|PULL BACK ARAGORN runs towards the GOLDEN HALL.|3
679|Regie|ARAGORN bursts into the GOLDEN HALL.|3
681|Regie|THEODEN looks up startled.|3
685|Regie|THEODEN his head lowered Slowly it rises - he looks ARAGORN in the EYE.|3
688|Regie|EDORAS LOOKOUT A SOLDIER RINGING the GREAT BELL in alarm as below, in the COURTYARD, SOLDIERS mount their STEEDS amid great activity.|3
689|Regie|THEODEN striding purposefully outside, flanked by EOMER and his SOLDIERS.|3
691|Regie|THEODEN strides onto the PARAPETS.|3
693|Regie|THEODEN watches as below the SOLDIERS prepare.|3
694|Regie|EOWYN hurriedly pulling on RIDING GLOVES, preparing to mount her HORSE.|3
696|Regie|EOWYN turns and runs SMACK into ARAGORN.|3
700|Regie|EOWYN deftly pulls the cover back down. She looks at ARAGORN.|3
702|Regie|to reveal THEODEN stares around at the STREETS and PEOPLE of EDORAS it is as if he knows he will not see this place again.|3
704|Regie|EOMER astride his horse, calls to the assembled SOLDIERS.|3
707|Regie|THEODEN astride SNOWMANE, as he, EOMER, ARAGORN and MERRY and LEGOLAS and GIMLI ride out AMID a GREAT COLUMN of ROHIRRIM, THUNDERING towards DUNHARROW in the MOUNTAINS.|3
709|Regie|FARAMIR and his MEN are fighting a losing BATTLE against the MORDOR invasion.|3
715|Regie|OMINOUS SOUNDS of WIND RISING HUGE WINGS BEATING.|3
717|Regie|SPINNING ANGLE FARAMIR looks up at the SKY ITHILIEN RANGERS are suddenly nervous, frightened A HUGE SHADOW passes overhead.|3
719|Regie|A SUDDEN TERRIFYING SHRIEK rends the AIR.|3
721|Regie|SOLDIERS RETREATING through the RUINS of the CITY as, high in the sky above, the NAZGUL swoop.|3
722|Regie|MADRIL as he is cut down by an ORC.|3
723|Regie|MADRIL his breathing quick and shallow footsteps approach.|3
724|Regie|The HIDEOUSLY deformed features of GOTHMOG standing over the prone figure of the INJURED RANGER.|3
725|Regie|Grabbing a spear from a nearby underling, GOTHMOG drives the shaft into MADRIL'S chest.|3
726|Regie|GOTHMOG surveys the carnage with satisfaction.|3
731|Regie|FARAMIR and a few survivors flee WEST OSGILIATH, desperately riding toward MINAS TIRITH in the SKY above DARK SHAPES pursue them.|3
732|Regie|SUDDENLY, from on HIGH, the NAZGUL strike.|3
733|Regie|TILT DOWN following the NAZGUL as it SWOOPS out of LOW- LYING, MURKY CLOUDS tossing MEN in the AIR like LIMP RAG-DOLLS.|3
734|Regie|AT THAT MOMENT Across the PLAIN, a FIGURE clothed in WHITE rides towards them.|3
735|Regie|From the BATTLEMENTS of MINAS TIRITH, a call "The White Rider."|3
737|Regie|GANDALF as he spurs SHADOWFAX forward. PIPPIN clings tightly to the great horses MANE.|3
738|Regie|FARAMIR, SWORD in hand, remains at the REAR, trying desperately to fend off the DEADLY ASSAULT.|3
739|Regie|AGAIN the FELL-BEASTS DIVE low.|3
740|Regie|GANDALF thunders into view, raising his STAFF.|3
741|Regie|A SHAFT OF WHITE LIGHT suddenly stabs upwards. The NAZGUL SWERVES AWAY from the LIGHT, as it pierces the LOW CLOUD.|3
742|Regie|For a BRIEF MOMENT, SUNLIGHT streams through the hole onto PELENNOR FIELDS The NAZGUL circle away from the SUN RAYS, swiftly spiralling higher and higher.|3
743|Regie|The NAZGUL defeated, GANDALF and the RANGERS ride towards the safety of MINAS TIRITH.|3
745|Regie|IORLAS runs towards the GATES, yelling.|3
749|Regie|AS GANDALF pulls SHADOWFAX up.|3
751|Regie|FARAMIR STEERS HIS HORSE through the CROWD towards GANDALF.|3
755|Regie|FARAMIR suddenly STARES at PIPPIN. GANDALF reads the surprise in his eyes.|3
