Nr.|Sprecher/Regie|Text|Filmnr.
620|Regie|Frodo continues to clutch at the Ring on his chest, immobilized. Sam drags Frodo across to hide beneath some bramble bushes. The Nazgul appears, tightening his hold on the reins. Camera then shows him riding a Fell Beast, swooping down across the marsh lands. Chilling screams of the Nazgul fill the air.|2
628|Regie|A loud screech from the Nazgul flying high above the marshes.|2
630|Regie|cowering|2
632|Regie|Frodo feels the call of the Ring and gropes for his necklace. Sam sees this and grabs hold of Frodo's hand.|2
636|Regie|The Nazgul continues to circle overhead and then flies off towards Mordor.|2
642|Regie|Scene returns to Fangorn forest. Gimli fingers a dark stain on a leaf and brings it to his mouth.|2
644|Regie|Spits|2
652|Regie|Groans reverberate through the forest and Gimli raises his axe.|2
656|Regie|Whispers|2
660|Regie|Gestures|2
662|Regie|Lowering his axe slowly|2
668|Regie|Close-up of Legolas' eyes|2
674|Regie|Aragorn wraps his hand around the hilt of his sword, Gimli tightens his hold on his axes, and Legolas notches an arrow to his bow.|2
678|Regie|With a yell, the three swing round to attack. Gimli's axe and Legolas' arrow are deflected. Aragorn drops his sword as it becomes red hot in his grasp. They shield their eyes with their hands from the bright light emanating from the White Wizard.|2
688|Regie|The bright light dims, revealing Gandalf, all dressed in white. The three are astounded. Legolas and Gimli bow.|2
692|Regie|Flashback: Gandalf is battling the Balrog atop Durin's Tower.|2
694|Regie|Gandalf holds up Glamdring and a flash of lightning strikes it before he plunges the sword into the Balrog. With a final cry, the Balrog falls from the peak and lands, smoking, onto the icy mountainside.|2
698|Regie|On top of the mountain, Gandalf crawls a bit and then collapses.|2
700|Regie|Camera zooms in Gandalf's eye and enters an amorphous realm of stars and galaxies, ending in a blinding white light|2
702|Regie|Camera zooms out from Gandalf's eye, lying naked and very still. His hair has turned white and wounds are completely healed. He suddenly shudders with a deep gasp and pants as life returns to him|2
708|Regie|He smiles|2
712|Regie|With a twinkle in his eyeAragorn grins|2
714|Regie|They walk through the forest, with Gandalf leading the way, now wearing a grey cloak over his white robes.|2
718|Regie|Outside the forest, Gandalf whistles piercingly. Soon an answering neigh is heard and a white horse appears from the plain, answering the call.|2
722|Regie|The horse comes round to stop in front of Gandalf.|2
724|Regie|Gimli bows in the background.|2
726|Regie|The Three Hunters and Gandalf ride across the plains to Edoras.|2
730|Regie|Back at Fangorn, Treebeard is walking through the forest with Merry and Pippin sitting on his shoulders.|2
736|Regie|Frodo and Sam are climbing a high rock overlooking Morannon.|2
740|Regie|The enormous Black Gate comes into view with Orcs patrolling and standing guard on the towers and atop the walls. From the right, an army of Easterling soldiers is marching to the Black Gate.|2
748|Regie|Orcs are patrolling the Black Gate.|2
752|Regie|A command is heard and an Orc sounds a horn, signalling for the Gate to be opened. Two enormous cave trolls stretch and growl and then pull the mighty Gate open.|2
756|Regie|He moves closer to the edge. Suddenly, the rock underneath him gives way and he falls.|2
762|Regie|Frodo goes after Sam.|2
766|Regie|Two Easterling soldiers see streams of dust coming down the cliff made by Sam and Frodo. They move away from the troop to investigate. Frodo reaches Sam who is stuck in the scree. As the Easterlings move closer and closer, Frodo throws his Elvish cloak over himself and Sam. The soldiers are now directly in front of Sam, but their eyes see nothing but rock. Frodo and Sam peer from underneath the cloak. The soldiers soon leave and after a moment, Frodo throws back the cloak and pulls Sam out.|2
772|Regie|They prepare to make a run for the Gate.|2
776|Regie|Gollum pulls them back.|2
780|Regie|Frodo tries to make a run for it.|2
782|Regie|Pulls Frodo back again.|2
792|Regie|Frodo and Sam watch as the Black Gate closes. Gollum is stroking Frodo's arm and burying his face in his cloak.|2
800|Regie|Whispers|2
806|Regie|Frodo follows Gollum as Sam stares after him in disbelief.|2
808|Regie|On the plains of Rohan. Gandalf, Aragorn, Legolas and Gimli stop as Edoras comes into view.|2
812|Regie|In the Hall, Eowyn is kneeling before Theoden, holding his hand in hers.|2
816|Regie|Theoden just sits and stares ahead, his eyes clouded and unseeing.|2
818|Regie|She weeps.|2
820|Regie|Scene returns to Gandalf and company.|2
824|Regie|They ride on towards Edoras.|2
828|Regie|At Edoras, Eowyn is weeping at the dead Theodred's bed. She kisses his hand. Grima appears at the door.|2
832|Regie|He sits on the bed and puts a hand on Eowyn's shoulder.|2
836|Regie|jumps back and throws off Grima's hand|2
838|Regie|Rises from the bed and moves ever closer to Eowyn|2
840|Regie|He puts a hand on her cheek and moves down to her throat.|2
844|Regie|Eowyn and Grima stare at each other intently.|2
848|Regie|Eowyn runs out of the hall. Weeping, she looks away into the distance. A flag comes off its pole and is carried by the breeze. Eowyn sees riders coming towards Edoras. As Aragorn passes the entrance to Edoras, the flag floats down to land near him. Edoras is silent and somber. Everyone is dressed in black and staring at the newcomers in wary silence. Aragorn looks up at the hall and sees a lady in white standing on the steps. He looks around at more somber people.|2
852|Regie|Aragorn looks up to the hall again but the lady has disappeared. The company climbs up the stairs to the hall and is met by guards.|2
854|Regie|sees Hama|2
858|Regie|Gandalf nods in understanding and signals for the others to surrender their weapons. Aragon hands over his sword and knives. Legolas gives a little twirl to his knives before handing them over to the guards. Gimli hands over his axes reluctantly.|2
860|Regie|gestures to Gandalf|2
862|Regie|Glances at his staff.Looks at Hama innocently.|2
864|Regie|Hama hesitates for a second and then gestures that they follow him into the hall. Gandalf gives Aragorn a tiny wink and enters the hall, leaning on Legolas' arm.|2
866|Regie|Leaning down and whispering to Theoden.|2
870|Regie|As Gandalf approaches Theoden, Aragorn, Legolas and Gimli pull back and survey the hall and its hostile occupants. A group of men starts to follow their steps with hostility.|2
872|Regie|Whispering to Theoden.|2
874|Regie|Looks to Grima for affirmation.|2
876|Regie|He walks towards Gandalf.|2
878|Regie|Raises his staff against Grima.|2
880|Regie|Backing away from Gandalf while addressing the guards|2
882|Regie|The hostile guards attack. Aragorn, Legolas and Gimli engage them in a fist-fight as Gandalf continues to approach Theoden. Gamling tries to go forward but Hama holds him back.|2
886|Regie|Grima tries to crawl away unnoticed, but Gimli catches him and pins him to the floor.|2
888|Regie|Growls|2
890|Regie|Gestures with his hand|2
892|Regie|MenacinglyGandalf opens his eyes in surprise.|2
894|Regie|Gandalf throws back his grey cloak, exuding blinding white light. Theoden is thrown back against his seat.|2
898|Regie|Points his staff towards Theoden.|2
900|Regie|Eowyn rushes in. Seeing her uncle threatened, she tries to go to him but is held back by Aragorn.|2
904|Regie|In Saruman's voice.|2
906|Regie|Gandalf moves his staff sharply and Theoden flies back against the chair again.|2
910|Regie|in Saruman's voice|2
914|Regie|Gandalf smites Theoden as he lunges at him. Theoden is thrown back into the chair and the shot changes to Saruman flying backwards from the Palantir which he used to manipulate Theoden. He lands landing hard on the floor of Orthanc, bleeding from a gash in his forehead. In the hall, Theoden lets out a moan and slumps forward in the chair. Eowyn runs to her uncle's side as he falls. Theoden's head rises again and his face begins to change gradually into that of a much younger-looking man. Clarity and recognition returns to his eyes.|2
916|Regie|Looks closely at Eowyn|2
918|Regie|Eowyn weeps with joy|2
924|Regie|The hall is shown to be filled with light again, as everyone marvels at the rejuvenation of the king.|2
926|Regie|Standing up and looking around him.He looks down at his trembling hands.|2
930|Regie|Hama runs up with his sword. Theoden reaches for it with trembling hands. He wraps his fingers around it slowly and then draws it, gazing upon the shiny steel. In a corner, Grima trembles and tries to escape but is pulled back by Gimli. Suddenly, Theoden's gaze turns to Grima. Grima is thrown out of the hall and down the stairs.|2
932|Regie|Beseechingly to Theoden|2
934|Regie|Advancing towards Grima, holding the sword firmly in his hand|2
936|Regie|Grovelling|2
938|Regie|Theoden raises his sword to kill Grima. Aragorn holds him back.|2
942|Regie|Grima scrambles to his feet and pushes through the crowd|2
948|Regie|The crowd kneels in homage before Theoden. Aragorn kneels also. Grima rides out of Edoras. As Theoden turns to go back into the hall, he looks up.|2
954|Regie|A white flower comes into view, held up by a hand. It is released and spirals down to land among similar flowers, in front of a tomb.|2
956|Regie|Looks at Gandalf|2
962|Regie|Theoden starts to weep|2
966|Regie|Gandalf turns to go back to the hall and leaves Theoden to grieve in private. He spots two children on horseback. The boy collapses and falls off the horse. Later, inside the Golden Hall, the two children are eating at a table, and Eowyn is with them.|2
974|Regie|Leans forward and puts a hand on Theoden's chair. Theoden looks at his hand warily.|2
980|Regie|Gimli takes a bite of his bread as he watches the exchange between Aragorn and Theoden.|2
986|Regie|Gimli takes a drink and burps.|2
990|Regie|Scene shifts to outside Meduseld|2
994|Regie|People are moving about, gathering their belongings and preparing to move. Gandalf, Aragorn, Legolas and Gimli walk towards the stables.|2
1000|Regie|They enter the stables|2
1006|Regie|Turns to Shadowfax and strokes him|2
1008|Regie|Opens the stall gates|2
1010|Regie|Legolas jumps back as Gandalf rides out of the stable and over the plains of Rohan.|2
1014|Regie|Eowyn opens a chest in which lies a sword. She unsheathes it and begins to practice. She swings around and is met by Aragorn, who blocks her parry.|2
1018|Regie|With a swift move, Eowyn swings her sword and renders Aragorn vulnerable, gaining the upper hand.|2
1020|Regie|Stepping back and sheathing her sword.|2
1026|Regie|He sheaths his knife.|2
1028|Regie|He bows and Eowyn gazes after him as he walks away.|2
1032|Regie|The people of Rohan are moving out of Edoras towards Helm's Deep, with Theoden leading the way. At Isengard, Grima confers with Saruman, holding a cloth to his mouth.|2
1036|Regie|Saruman's eyebrows rise in response. He walks through the depths of Isengard and gives orders to an Orc.|2
1040|Regie|The Orc smiles. In a pit behind him, ferocious growls are heard and shadows dances.|2
1044|Regie|Gollum is trying to catch a fish in the river. He slips and falls, grasping at a slippery fish as he goes. Frodo and Sam follow behind.|2
1056|Regie|Glaring at SamHe walks past Sam and stops.|2
1064|Regie|Snapping at Sam|2
1066|Regie|Sam walks away slowly.|2
1068|Regie|With remorse|2
1070|Regie|Looks back at Frodo with tears in his eyes.|2
1072|Regie|Grows angry againHe walks away|2
1076|Regie|Frodo continues to walk away without looking back.|2
1080|Regie|Nighttime, Frodo and Sam are asleep. Gollum is crouching in a corner by himself.|2
1090|Regie|Tauntingly|2
1092|Regie|Covers his ears|2
1096|Regie|Shaking his head|2
1100|Regie|Starts to weep and whimper|2
1102|Regie|Cackles|2
1104|Regie|Weeping and in a small voice|2
1106|Regie|Fiercely|2
1108|Regie|Resolute|2
1110|Regie|Startled|2
1120|Regie|Louder|2
1122|Regie|Growls and bares his teeth|2
1126|Regie|Smeagol pants and then looks around.|2
1128|Regie|He hops around in joy and does a little dance.|2
1130|Regie|The next day, while the hobbits were resting, Smeagol comes back with two rabbits and drops them onto Frodo's lap.|2
1134|Regie|Frodo looks at up him with bloodshot eyes. He smiles at Smeagol and looks at Sam. Smeagol raises a fist in self-congratulation and dances around. He then picks up one of the rabbits and snaps the rabbit's back in front of Frodo.|2
1138|Regie|He bites and tears into the raw meat. Sam rushes over and snatches the rabbit out of Gollum's hands|2
1140|Regie|Holding up the two rabbits|2
1142|Regie|A pot of stew is simmering over a fire.|2
1144|Regie|Looking into the pot|2
1148|Regie|A faint calling sound catches the attention of Frodo.|2
1156|Regie|Sticks out his tongue in disgust|2
1158|Regie|He takes a sip of the stew|2
1160|Regie|scrambles up close to SamMakes sickeningly happy face.Hops away|2
1164|Regie|Frodo follows the source of the sound. Sam suddenly notices that Frodo is no longer in his sight.|2
1168|Regie|He goes in search of Frodo and finds him lying down near some bushes looking at a Haradrim army marching across the land. He moves to lie low beside Frodo. Smeagol also moves in beside Frodo.|2
1180|Regie|Suddenly grabs Frodo's arm|2
1182|Regie|Gigantic Oliphaunts appear, carrying soldiers and supplies on their backs.|2
1186|Regie|Smeagol slips away unnoticed.|2
1188|Regie|Looking around|2
1190|Regie|Suddenly, pandemonium breaks out from below; the soldiers are being ambushed. Cloaked rangers are firing deadly arrows at the soldiers and Oliphaunts from behind bushes. One of the Oliphaunts starts trumpeting and stomping towards Frodo and Sam, swinging his huge trunk and tusks. Faramir takes aim and shoots a soldier. He falls from the Oliphaunt and lands right behind Frodo and Sam, dead.|2
1194|Regie|Frodo runs right into a Gondorian Ranger, who grabs hold of him and throws him onto his back. Sam sees Frodo in danger and grapples for his sword|2
1198|Regie|He charges at Faramir but is grabbed by another ranger and thrown down. A sword appears at his throat. Faramir appears.|2
1204|Regie|Meanwhile, the Rohirrim refugees are heading towards Helm's Deep. Gimli is on a horse, chatting with Eowyn who is leading it by the reins.|2
1208|Regie|Eowyn smiles and looks back at Aragorn.|2
1210|Regie|Gestures and whispers|2
1214|Regie|Laughs gaily|2
1218|Regie|The horse suddenly rears up and gallops away as Eowyn loses her hold on the reins. Gimli falls off after a short distance and lands with a loud thump.|2
1222|Regie|Struggling to get up|2
1224|Regie|Eowyn helps Gimli up. She laughs as she brushes him off and looks back at Aragorn with the sun behind her and the wind in her hair. At that particular moment, Aragorn seems enchanted by Eowyn's light-hearted image. That night. Aragorn could not sleep and smokes his pipe as he thinks of Arwen.|2
1228|Regie|Aragorn is lying on a chaise in Rivendell. He opens his eyes and sees Arwen before him, smiling down at him.|2
1232|Regie|Bends down to kiss him|2
1234|Regie|She kisses him lightly on the lips and then steps away to look out upon Rivendell. Aragorn closes his eyes but for a while. He looks over at Arwen.|2
1238|Regie|Turns to look at Aragorn|2
1240|Regie|Walks over to Arwen|2
1246|Regie|Arwen hushes him, resting her fingers on his lips. As her hands moves down to rest on the Evenstar pendant around Aragorn's neck, he clasps her hand in his and they gaze into each other's eyes.|2
1250|Regie|They kiss.|2
1254|Regie|The next day, on the journey to Helm's Deep. Eowyn is walking alongside Aragorn.|2
1258|Regie|ARAGORN SMILES AND SAYS NOTHING.  Elrond is speaking to Aragorn in Rivendell, before he sets out with the Fellowship.|2
1270|Regie|Aragorn and Arwen are together before the Fellowship departs.|2
1278|Regie|He takes Arwen ...s hand to return the Evenstar necklace to her.|2
1282|Regie|Closes Aragorn's hand over the Evenstar|2
1284|Regie|Scene shifts back to Aragorn and Eowyn|2
1290|Regie|Gamling and Hama ride to the front. Legolas watches them as they pass.|2
1294|Regie|Their horses become restless.|2
1296|Regie|Looking around|2
1298|Regie|A warg scout appears on a slope above and charges at them. The warg attacks Hama and kills him.|2
1302|Regie|Just as it starts to turn on Gamling, Legolas runs over and kills the warg with an arrow. He then draws his knife and kills the Orc.|2
1304|Regie|Shouts to Aragorn|2
1308|Regie|Running back to Theoden|2
1310|Regie|Hearing the alarm, the villagers begin to cry and panic.|2
1316|Regie|Trying to mount Arod|2
1318|Regie|Gimli gets onto the horse with some help. Legolas gazes into the distance and sees many warg-riders coming fast towards them, kicking up dust trails as they go.|2
1320|Regie|To Eowyn|2
1326|Regie|Eowyn holds Theoden's gaze for a moment and then turn to attend to the villagers.|2
1328|Regie|To his men|2
